question,answer,language
"Hello","Hello! How can I help you today?","English"
"Hi","Hi there! What can I assist you with?","English"
"How are you?","I'm doing well, thank you! How can I help you?","English"
"What is your name?","I'm AskPSU, your virtual assistant.","English"
"What can you do?","I can help answer your questions and provide information.","English"
"Thank you","You're welcome! Is there anything else I can help you with?","English"
"Goodbye","Goodbye! Have a great day!","English"
"Help","I'm here to help! What do you need assistance with?","English"
"What time is it?","I don't have access to real-time information, but you can check your device's clock.","English"
"How do I contact support?","You can reach our support team through the help section in the app.","English"

